Video,Duong dan,Thoi gian,Bien so
1,D:/ANPR-main/result_data\vid1\Licenseplate_201_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_202_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_203_0.jpg,6.0,30G-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_204_0.jpg,6.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_205_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_206_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_207_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_208_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_209_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_210_0.jpg,7.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_211_0.jpg,7.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_212_0.jpg,7.0,306999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_213_0.jpg,7.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_214_0.jpg,7.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_215_0.jpg,7.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_216_0.jpg,7.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_217_0.jpg,7.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_218_0.jpg,7.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_219_0.jpg,7.0,306.999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_220_0.jpg,7.0,306.999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_221_0.jpg,7.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_222_0.jpg,7.0,[30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_223_0.jpg,7.0,20g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_224_0.jpg,7.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_225_0.jpg,7.0,30g.999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_226_0.jpg,7.0,"306-999,.99"
1,D:/ANPR-main/result_data\vid1\Licenseplate_227_0.jpg,7.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_228_0.jpg,7.0,"30g-999,99"
1,D:/ANPR-main/result_data\vid1\Licenseplate_229_0.jpg,7.0,130g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_230_0.jpg,7.0,206-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_231_0.jpg,7.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_232_0.jpg,7.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_233_0.jpg,7.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_234_0.jpg,7.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_235_0.jpg,7.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_236_0.jpg,7.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_237_0.jpg,7.0,130g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_238_0.jpg,7.0,30-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_239_0.jpg,7.0,1306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_240_0.jpg,8.0,130g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_241_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_242_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_243_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_244_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_245_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_246_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_247_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_248_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_249_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_250_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_251_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_252_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_253_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_254_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_255_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_256_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_257_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_258_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_259_0.jpg,8.0,30g-999.991
1,D:/ANPR-main/result_data\vid1\Licenseplate_260_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_261_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_262_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_263_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_264_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_265_0.jpg,8.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_266_0.jpg,8.0,206-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_267_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_268_0.jpg,8.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_269_0.jpg,8.0,"306-999,99"
1,D:/ANPR-main/result_data\vid1\Licenseplate_270_0.jpg,9.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_271_0.jpg,9.0,1306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_272_0.jpg,9.0,30g-999.99
